"Brand","Vehicle","Engine","Engine code","Displacement","Power","Power rpm","Torque","Torque rpm","Average fuel consumption (l/100 km)","CO2 (g/km)","Compression ratio","GearBox type","Traction type","Block material","Cylinder head","Jante","Largura","Ratio","Combustivel","Weight5p","Weight3p"
"Renault","Twingo","1.2L 60 hp","D7F",1149,58,"5250",93,2500,5.6,130,9.6,"MT","2wd","cast iron","aluminium",14,165,65,"gasolina",1000,0
"Renault","Twingo","1.2L 75 hp","D4F",1149,75,"5500",108,4250,5.1,120,9.8,"MT","2wd","cast iron","aluminium",14,165,65,"gasolina",1025,0
"Renault","Twingo","1.5L dCi 65 hp","K9KBP",1461,65,"3750",160,1900,4.3,113,17.9,"MT","2wd","cast iron","aluminium",14,165,65,"gasoleo",1055,0
"Renault","Twingo","1.2L 75 hp ","D4F",1149,75,"5500",108,4250,5.6,132,9.8,"AT 5","2wd","cast iron","aluminium",14,165,65,"gasolina",1030,0
"Renault","Twingo","1.5L dCi 85 hp","K9KHP",1461,84,"3750",200,1750,4.0,104,17.9,"MT","2wd","cast iron","aluminium",14,165,65,"gasoleo",1055,0
"Renault","Twingo","1.2L TCe 100 hp","D4FT",1149,104,"5500",145,3000,5.9,138,9.5,"MT","2wd","cast iron","aluminium",15,185,65,"gasolina",1055,0
"Renault","Twingo","1.6L 130 hp","K4MRS",1598,133,"6750",160,4400,7.0,165,11.0,"MT","2wd","cast iron","aluminium",16,195,45,"gasolina",1124,0
"Renault","Clio Campus 3p Exp","1.5L dCi 65 hp","K9KBP",1461,65,"4000",160,2000,4.3,,18.8,"MT","2wd","cast iron","aluminium",14,175,65,"gasoleo",960,0
"Renault","Clio Campus 3p Dyn","1.5L dCi 65 hp","K9KBP",1461,65,"4000",160,2000,4.3,,18.8,"MT","2wd","cast iron","aluminium",15,185,55,"gasoleo",960,0
"Renault","Clio Campus 5p Exp","1.5L dCi 65 hp","K9KBP",1461,65,"4000",160,2000,4.3,,18.8,"MT","2wd","cast iron","aluminium",14,175,65,"gasoleo",980,0
"Renault","Clio Campus 5p Dyn","1.5L dCi 65 hp","K9KBP",1461,65,"4000",160,2000,4.3,,18.8,"MT","2wd","cast iron","aluminium",15,185,55,"gasoleo",980,0
"Renault","Clio","1.2L 75 hp","D4F",1149,75,"5500",105,4250,5.9,139,9.8,"MT","2wd","cast iron","aluminium",15,165,65,"gasolina",1155,1165
"Renault","Clio","1.5L dCi 70 hp","K9KBP",1461,68,"4000",160,1700,4.5,120,17.9,"MT","2wd","cast iron","aluminium",15,185,60,"gasoleo",1230,1240
"Renault","Clio","1.2L TCe 100 hp","D4FT",1149,101,"5500",145,3000,5.8,137,9.5,"MT","2wd","cast iron","aluminium",15,185,60,"gasolina",1165,1175
"Renault","Clio","1.5L dCi 85 hp","K9KHP",1461,86,"3750",200,1900,4.4,117,17.9,"MT","2wd","cast iron","aluminium",15,185,60,"gasoleo",1240,1250
"Renault","Clio Exc","1.2L TCe 100 hp","D4FT",1149,101,"5500",145,3000,5.8,137,9.5,"MT","2wd","cast iron","aluminium",16,195,50,"gasolina",1165,1175
"Renault","Clio Exc","1.5L dCi 85 hp","K9KHP",1461,86,"3750",200,1900,4.4,117,17.9,"MT","2wd","cast iron","aluminium",16,195,50,"gasoleo",1240,1250
"Renault","Clio Exc","1.6L 110 hp ","K4M",1598,112,"6000",151,4250,7.5,179,9.8,"AT 4","2wd","cast iron","aluminium",16,195,50,"gasolina",1255,1265
"Renault","Clio  Exc","1.5L dCi 105 hp","K9KTHP",1461,106,"4000",240,2000,4.3,123,15.6,"MT 6","2wd","cast iron","aluminium",16,195,50,"gasoleo",1275,1285
"Renault","Clio GT 3p.","1.6L 130 hp","K4MRS",1598,128,"6750",155,4250,6.9,160,,"MT 6","2wd","cast iron","aluminium",16,195,50,"gasolina",1215,0
"Renault","Clio RS 3p.","2.0L 200 hp","F4R",1998,201,"7100",215,5400,8.3,195,,"MT 6","2wd","cast iron","aluminium",17,215,45,"gasolina",1279,0
"Renault","Clio Grand Tour","1.2L 75 hp","D4F",1149,75,"5500",105,4250,5.9,139,9.8,"MT","2wd","cast iron","aluminium",15,165,65,"gasolina",1185,0
"Renault","Clio Grand Tour","1.5L dCi 70 hp","K9KBP",1461,68,"4000",160,1700,4.5,120,17.9,"MT","2wd","cast iron","aluminium",15,185,60,"gasoleo",1260,0
"Renault","Clio Grand Tour","1.2L TCe 100 hp","D4FT",1149,101,"5500",145,3000,5.8,137,9.5,"MT","2wd","cast iron","aluminium",15,185,60,"gasolina",1195,0
"Renault","Clio Grand Tour","1.5L dCi 85 hp","K9KHP",1461,86,"3750",200,1900,4.4,117,17.9,"MT","2wd","cast iron","aluminium",15,185,60,"gasoleo",1270,0
"Renault","Clio Grand Tour Exc","1.2L TCe 100 hp","D4FT",1149,101,"5500",145,3000,5.8,137,9.5,"MT","2wd","cast iron","aluminium",16,195,50,"gasolina",1195,0
