"Brand","Vehicle","Engine","Engine code","Power","Torque (Nm/rpm)","Displacement","Average fuel consumption (l/100 km)","CO2 (g/km)","Weight(3p/5p) kg","Compression ratio","GearBox type","Traction type","Block material","Cylinder head","Jante","Largura","Ratio"
"Renault","Twingo","1.2L 60 hp","D7F","58/5250","93/2500",1149,5.6,130,"1000",9.6,"MT","2wd","cast iron","aluminium","R14",165,65
"Renault","Twingo","1.2L 75 hp","D4F","75/5500","108/4250",1149,5.1,120,"1025",9.8,"MT","2wd","cast iron","aluminium","R14",165,65
"Renault","Twingo","1.5L dCi 65 hp","K9KBP","65/3750","160/1900",1461,4.3,113,"1055",17.9,"MT","2wd","cast iron","aluminium","R14",165,65
"Renault","Twingo","1.2L 75 hp AT","D4F","75/5500","108/4250",1149,5.6,132,"1030",9.8,"AT 5","2wd","cast iron","aluminium","R14",165,65
"Renault","Twingo","1.5L dCi 85 hp","K9KHP","84/3750","200/1750",1461,4.0,104,"1055",17.9,"MT","2wd","cast iron","aluminium","R14",165,65
"Renault","Twingo","1.2L TCe 100 hp","D4FT","104/5500","145/3000",1149,5.9,138,"1055",9.5,"MT","2wd","cast iron","aluminium","R15",185,65
"Renault","Twingo","1.6L 130 hp","K4MRS","133/6750","160/4400",1598,7.0,165,"1124",11.0,"MT","2wd","cast iron","aluminium","R16",195,45
"Renault","Clio Campus 3p Exp","1.5L dCi 65 hp","K9KBP","65/4000","160/2000",1461,4.3,,"960",18.8,"MT","2wd","cast iron","aluminium","R14",175,65
"Renault","Clio Campus 3p Dyn","1.5L dCi 65 hp","K9KBP","65/4000","160/2000",1461,4.3,,"960",18.8,"MT","2wd","cast iron","aluminium","R15",185,55
"Renault","Clio Campus 5p Exp","1.5L dCi 65 hp","K9KBP","65/4000","160/2000",1461,4.3,,"980",18.8,"MT","2wd","cast iron","aluminium","R14",175,65
"Renault","Clio Campus 5p Dyn","1.5L dCi 65 hp","K9KBP","65/4000","160/2000",1461,4.3,,"980",18.8,"MT","2wd","cast iron","aluminium","R15",185,55
"Renault","Clio","1.2L 75 hp","D4F","75/5500","105/4250",1149,5.9,139,"1155/1165",9.8,"MT","2wd","cast iron","aluminium","R15",165,65
"Renault","Clio","1.5L dCi 70 hp","K9KBP","68/4000","160/1700",1461,4.5,120,"1230/1240",17.9,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Clio","1.2L TCe 100 hp","D4FT","101/5500","145/3000",1149,5.8,137,"1165/1175",9.5,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Clio","1.5L dCi 85 hp","K9KHP","86/3750","200/1900",1461,4.4,117,"1240/1250",17.9,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Clio Exc","1.2L TCe 100 hp","D4FT","101/5500","145/3000",1149,5.8,137,"1165/1175",9.5,"MT","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio Exc","1.5L dCi 85 hp","K9KHP","86/3750","200/1900",1461,4.4,117,"1240/1250",17.9,"MT","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio Exc","1.6L 110 hp AT","K4M","112/6000","151/4250",1598,7.5,179,"1255/1265",9.8,"AT 4","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio  Exc","1.5L dCi 105 hp","K9KTHP","106/4000","240/2000-2500",1461,4.3,123,"1275/1285",15.6,"MT 6","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio GT 3p.","1.6L 130 hp","K4MRS","128/6750","155/4250",1598,6.9,160,"1215",,"MT 6","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio RS 3p.","2.0L 200 hp","F4R","201/7100","215/5400",1998,8.3,195,"1279",,"MT 6","2wd","cast iron","aluminium","R17",215,45
"Renault","Clio Grand Tour","1.2L 75 hp","D4F","75/5500","105/4250",1149,5.9,139,"1185",9.8,"MT","2wd","cast iron","aluminium","R15",165,65
"Renault","Clio Grand Tour","1.5L dCi 70 hp","K9KBP","68/4000","160/1700",1461,4.5,120,"1260",17.9,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Clio Grand Tour","1.2L TCe 100 hp","D4FT","101/5500","145/3000",1149,5.8,137,"1195",9.5,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Clio Grand Tour","1.5L dCi 85 hp","K9KHP","86/3750","200/1900",1461,4.4,117,"1270",17.9,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Clio Grand Tour Exc","1.2L TCe 100 hp","D4FT","101/5500","145/3000",1149,5.8,137,"1195",9.5,"MT","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio Grand Tour Exc","1.5L dCi 85 hp","K9KHP","86/3750","200/1900",1461,4.4,117,"1270",17.9,"MT","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio Grand Tour Exc","1.6L 110 hp AT","K4M","112/6000","151/4250",1598,7.5,179,"1285",9.8,"AT 4","2wd","cast iron","aluminium","R16",195,50
"Renault","Clio Grand Tour Exc","1.5L dCi 105 hp","K9KTHP","106/4000","240/2000-2500",1461,4.3,123,"1310",15.6,"MT 6","2wd","cast iron","aluminium","R16",195,50
"Renault","Kangoo Bebop","1.6L 105 hp","K4M","106/5750","148/3750",1598,7.7,186,"1435",10.0,"MT","2wd","cast iron","aluminium","R16",205,60
"Renault","Kangoo Bebop","1.5L dCi 105 hp","K9KTHP","106/4000","240/2000",1461,5.4,142,"1468",15.3,"MT 6","2wd","cast iron","aluminium","R16",205,60
"Renault","Modus","1.2L 75 hp","D4F","75/5500","105/4250",1149,5.9,140,"1225",9.8,"MT","2wd","cast iron","aluminium","R15",165,65
"Renault","Modus","1.5L dCi 65 hp","K9KBP","65/4000","160/1700",1461,4.7,119,"1255",17.9,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Modus","1.2L TCe 100 hp","D4FT","101/5500","145/3000",1149,5.9,140,"1235",9.8,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Modus","1.5L dCi 85 hp","K9KHP","86/3750","200/1900",1461,4.5,119,"1290",17.9,"MT","2wd","cast iron","aluminium","R15",185,60
"Renault","Modus Exc","1.2L TCe 100 hp","D4FT","101/5500","145/3000",1149,5.9,140,"1235",9.8,"MT","2wd","cast iron","aluminium","R16",185,55
